Algorithm,N,TimeTaken
Inbuilt Sort,6736,936
Inbuilt Sort,6953,931
Inbuilt Sort,7404,963
Inbuilt Sort,5767,727
Inbuilt Sort,6991,908
Inbuilt Sort,5952,1000
Inbuilt Sort,8955,1938
Inbuilt Sort,1041,198
Inbuilt Sort,3249,783
Inbuilt Sort,9741,2527
Quick Sort,6736,1084
Quick Sort,6953,913
Quick Sort,7404,970
Quick Sort,5767,734
Quick Sort,6991,908
Quick Sort,5952,774
Quick Sort,8955,1180
Quick Sort,1041,105
Quick Sort,3249,361
Quick Sort,9741,1306
Merge Sort,6736,2516
Merge Sort,6953,2643
Merge Sort,7404,2244
Merge Sort,5767,1720
Merge Sort,6991,2497
Merge Sort,5952,1994
Merge Sort,8955,2814
Merge Sort,1041,290
Merge Sort,3249,941
Merge Sort,9741,5403
Insertion Sort,6736,43579
Insertion Sort,6953,48674
Insertion Sort,7404,51567
Insertion Sort,5767,31603
Insertion Sort,6991,46865
Insertion Sort,5952,36712
Insertion Sort,8955,80922
Insertion Sort,1041,1044
Insertion Sort,3249,9738
Insertion Sort,9741,88402
Selection Sort,6736,65253
Selection Sort,6953,60832
Selection Sort,7404,71564
Selection Sort,5767,43386
Selection Sort,6991,63863
Selection Sort,5952,46304
Selection Sort,8955,112828
Selection Sort,1041,1350
Selection Sort,3249,13273
Selection Sort,9741,131075
