Algorithm,N,TimeTaken
Inbuilt Sort,71,5
Inbuilt Sort,11,0
Inbuilt Sort,5,0
Inbuilt Sort,78,5
Inbuilt Sort,63,6
Inbuilt Sort,73,7
Inbuilt Sort,16,1
Inbuilt Sort,35,2
Inbuilt Sort,54,3
Inbuilt Sort,16,0
Inbuilt Sort,42,2
Inbuilt Sort,21,1
Inbuilt Sort,1,0
Inbuilt Sort,41,2
Inbuilt Sort,91,6
Inbuilt Sort,9,0
Inbuilt Sort,77,5
Inbuilt Sort,69,4
Inbuilt Sort,9,0
Inbuilt Sort,72,4
Inbuilt Sort,37,2
Inbuilt Sort,69,4
Inbuilt Sort,69,5
Inbuilt Sort,23,2
Inbuilt Sort,53,5
Inbuilt Sort,33,2
Inbuilt Sort,49,3
Inbuilt Sort,36,2
Inbuilt Sort,41,2
Inbuilt Sort,96,6
Inbuilt Sort,9,0
Inbuilt Sort,62,4
Inbuilt Sort,38,2
Inbuilt Sort,45,2
Inbuilt Sort,48,3
Inbuilt Sort,69,4
Inbuilt Sort,71,6
Inbuilt Sort,59,6
Inbuilt Sort,16,1
Inbuilt Sort,94,6
Inbuilt Sort,39,2
Inbuilt Sort,11,0
Inbuilt Sort,35,2
Inbuilt Sort,49,3
Inbuilt Sort,42,2
Inbuilt Sort,26,1
Inbuilt Sort,18,0
Inbuilt Sort,87,5
Inbuilt Sort,45,2
Inbuilt Sort,55,3
Inbuilt Sort,87,5
Inbuilt Sort,44,2
Inbuilt Sort,37,2
Inbuilt Sort,70,5
Inbuilt Sort,88,5
Inbuilt Sort,2,0
Inbuilt Sort,84,5
Inbuilt Sort,71,4
Inbuilt Sort,59,3
Inbuilt Sort,46,2
Inbuilt Sort,36,2
Inbuilt Sort,73,4
Inbuilt Sort,65,4
Inbuilt Sort,91,6
Inbuilt Sort,35,2
Inbuilt Sort,13,0
Inbuilt Sort,31,1
Inbuilt Sort,29,1
Inbuilt Sort,49,3
Inbuilt Sort,18,1
Inbuilt Sort,76,5
Inbuilt Sort,71,4
Inbuilt Sort,21,1
Inbuilt Sort,92,6
Inbuilt Sort,57,3
Inbuilt Sort,26,1
Inbuilt Sort,98,7
Inbuilt Sort,21,1
Inbuilt Sort,8,0
Inbuilt Sort,27,1
Inbuilt Sort,25,1
Inbuilt Sort,45,2
Inbuilt Sort,35,1
Inbuilt Sort,77,5
Inbuilt Sort,6,0
Inbuilt Sort,80,5
Inbuilt Sort,98,6
Inbuilt Sort,69,4
Inbuilt Sort,12,0
Inbuilt Sort,38,2
Inbuilt Sort,3,0
Inbuilt Sort,27,1
Inbuilt Sort,86,6
Inbuilt Sort,19,1
Inbuilt Sort,75,5
Inbuilt Sort,29,1
Inbuilt Sort,50,3
Inbuilt Sort,98,6
Inbuilt Sort,68,4
Inbuilt Sort,17,0
Quick Sort,71,4
Quick Sort,11,0
Quick Sort,5,0
Quick Sort,78,4
Quick Sort,63,3
Quick Sort,73,4
Quick Sort,16,1
Quick Sort,35,2
Quick Sort,54,4
Quick Sort,16,1
Quick Sort,42,3
Quick Sort,21,1
Quick Sort,1,0
Quick Sort,41,3
Quick Sort,91,8
Quick Sort,9,0
Quick Sort,77,6
Quick Sort,69,6
Quick Sort,9,0
Quick Sort,72,6
Quick Sort,37,2
Quick Sort,69,6
Quick Sort,69,7
Quick Sort,23,1
Quick Sort,53,5
Quick Sort,33,2
Quick Sort,49,4
Quick Sort,36,3
Quick Sort,41,3
Quick Sort,96,9
Quick Sort,9,0
Quick Sort,62,5
Quick Sort,38,2
Quick Sort,45,3
Quick Sort,48,4
Quick Sort,69,5
Quick Sort,71,5
Quick Sort,59,4
Quick Sort,16,0
Quick Sort,94,8
Quick Sort,39,2
Quick Sort,11,0
Quick Sort,35,2
Quick Sort,49,4
Quick Sort,42,3
Quick Sort,26,2
Quick Sort,18,1
Quick Sort,87,9
Quick Sort,45,3
Quick Sort,55,4
Quick Sort,87,7
Quick Sort,44,3
Quick Sort,37,2
Quick Sort,70,8
Quick Sort,88,11
Quick Sort,2,0
Quick Sort,84,8
Quick Sort,71,9
Quick Sort,59,6
Quick Sort,46,3
Quick Sort,36,3
Quick Sort,73,8
Quick Sort,65,6
Quick Sort,91,10
Quick Sort,35,2
Quick Sort,13,0
Quick Sort,31,2
Quick Sort,29,3
Quick Sort,49,5
Quick Sort,18,1
Quick Sort,76,8
Quick Sort,71,7
Quick Sort,21,1
Quick Sort,92,10
Quick Sort,57,5
Quick Sort,26,1
Quick Sort,98,10
Quick Sort,21,1
Quick Sort,8,0
Quick Sort,27,2
Quick Sort,25,1
Quick Sort,45,4
Quick Sort,35,2
Quick Sort,77,7
Quick Sort,6,0
Quick Sort,80,9
Quick Sort,98,10
Quick Sort,69,7
Quick Sort,12,0
Quick Sort,38,3
Quick Sort,3,0
Quick Sort,27,2
Quick Sort,86,19
Quick Sort,19,1
Quick Sort,75,7
Quick Sort,29,2
Quick Sort,50,4
Quick Sort,98,10
Quick Sort,68,7
Quick Sort,17,1
Merge Sort,71,33
Merge Sort,11,4
Merge Sort,5,1
