Algorithm,N,TimeTaken
Inbuilt Sort,807,52
Inbuilt Sort,123,5
Inbuilt Sort,23,1
Inbuilt Sort,836,61
Inbuilt Sort,709,44
Inbuilt Sort,328,20
Inbuilt Sort,429,24
Inbuilt Sort,699,39
Inbuilt Sort,80,3
Inbuilt Sort,494,26
Inbuilt Sort,560,34
Inbuilt Sort,330,19
Inbuilt Sort,94,4
Inbuilt Sort,148,7
Inbuilt Sort,469,25
Inbuilt Sort,127,6
Inbuilt Sort,969,56
Inbuilt Sort,170,8
Inbuilt Sort,413,24
Inbuilt Sort,593,30
Inbuilt Sort,565,29
Inbuilt Sort,288,13
Inbuilt Sort,239,12
Inbuilt Sort,41,2
Inbuilt Sort,823,55
Inbuilt Sort,618,34
Inbuilt Sort,665,44
Inbuilt Sort,198,11
Inbuilt Sort,487,27
Inbuilt Sort,659,35
Inbuilt Sort,498,27
Inbuilt Sort,588,41
Inbuilt Sort,712,43
Inbuilt Sort,739,55
Inbuilt Sort,895,62
Inbuilt Sort,61,3
Inbuilt Sort,555,36
Inbuilt Sort,52,2
Inbuilt Sort,330,21
Inbuilt Sort,761,52
Inbuilt Sort,350,18
Inbuilt Sort,679,46
Inbuilt Sort,320,19
Inbuilt Sort,275,13
Inbuilt Sort,523,30
Inbuilt Sort,402,18
Inbuilt Sort,283,16
Inbuilt Sort,250,11
Inbuilt Sort,849,61
Inbuilt Sort,358,20
Inbuilt Sort,922,57
Inbuilt Sort,885,55
Inbuilt Sort,673,42
Inbuilt Sort,652,43
Inbuilt Sort,250,14
Inbuilt Sort,160,8
Inbuilt Sort,210,10
Inbuilt Sort,447,23
Inbuilt Sort,966,59
Inbuilt Sort,628,38
Inbuilt Sort,568,37
Inbuilt Sort,202,12
Inbuilt Sort,506,34
Inbuilt Sort,728,51
Inbuilt Sort,173,10
Inbuilt Sort,862,62
Inbuilt Sort,514,27
Inbuilt Sort,459,30
Inbuilt Sort,915,52
Inbuilt Sort,78,3
Inbuilt Sort,970,64
Inbuilt Sort,547,31
Inbuilt Sort,429,20
Inbuilt Sort,10,0
Inbuilt Sort,543,27
Inbuilt Sort,328,22
Inbuilt Sort,211,13
Inbuilt Sort,329,16
Inbuilt Sort,338,19
Inbuilt Sort,930,65
Inbuilt Sort,100,4
Inbuilt Sort,138,7
Inbuilt Sort,958,63
Inbuilt Sort,579,40
Inbuilt Sort,416,23
Inbuilt Sort,953,64
Inbuilt Sort,749,50
Inbuilt Sort,44,1
Inbuilt Sort,915,64
Inbuilt Sort,420,25
Inbuilt Sort,582,31
Inbuilt Sort,300,15
Inbuilt Sort,116,5
Inbuilt Sort,620,42
Inbuilt Sort,42,1
Inbuilt Sort,299,15
Inbuilt Sort,960,66
Inbuilt Sort,852,49
Inbuilt Sort,107,5
Inbuilt Sort,128,6
Quick Sort,807,76
Quick Sort,123,11
Quick Sort,23,0
Quick Sort,836,75
Quick Sort,709,88
Quick Sort,328,25
Quick Sort,429,32
Quick Sort,699,96
Quick Sort,80,7
Quick Sort,494,51
Quick Sort,560,57
