Algorithm,N,TimeTaken
Inbuilt Sort,24,3
Inbuilt Sort,62,4
Inbuilt Sort,47,3
Inbuilt Sort,19,1
Inbuilt Sort,67,5
Inbuilt Sort,26,2
Inbuilt Sort,32,3
Inbuilt Sort,49,3
Inbuilt Sort,88,6
Inbuilt Sort,98,7
Inbuilt Sort,56,3
Inbuilt Sort,36,2
Inbuilt Sort,35,2
Inbuilt Sort,87,6
Inbuilt Sort,46,2
Inbuilt Sort,60,4
Inbuilt Sort,77,5
Inbuilt Sort,50,3
Inbuilt Sort,50,3
Inbuilt Sort,55,3
Inbuilt Sort,46,3
Inbuilt Sort,31,1
Inbuilt Sort,29,1
Inbuilt Sort,40,2
Inbuilt Sort,70,5
Inbuilt Sort,84,5
Inbuilt Sort,7,0
Inbuilt Sort,6,0
Inbuilt Sort,65,4
Inbuilt Sort,76,5
Inbuilt Sort,67,4
Inbuilt Sort,81,5
Inbuilt Sort,60,4
Inbuilt Sort,3,0
Inbuilt Sort,79,5
Inbuilt Sort,6,0
Inbuilt Sort,69,4
Inbuilt Sort,90,6
Inbuilt Sort,67,4
Inbuilt Sort,73,5
Inbuilt Sort,39,2
Inbuilt Sort,57,3
Inbuilt Sort,76,5
Inbuilt Sort,32,1
Inbuilt Sort,94,6
Inbuilt Sort,8,0
Inbuilt Sort,46,2
Inbuilt Sort,71,4
Inbuilt Sort,98,6
Inbuilt Sort,28,1
Inbuilt Sort,26,1
Inbuilt Sort,41,2
Inbuilt Sort,5,0
Inbuilt Sort,9,0
Inbuilt Sort,13,0
Inbuilt Sort,74,5
Inbuilt Sort,21,1
Inbuilt Sort,43,2
Inbuilt Sort,18,0
Inbuilt Sort,70,4
Inbuilt Sort,62,4
Inbuilt Sort,28,1
Inbuilt Sort,81,5
Inbuilt Sort,19,1
Inbuilt Sort,42,2
Inbuilt Sort,67,4
Inbuilt Sort,30,1
Inbuilt Sort,95,6
Inbuilt Sort,33,1
Inbuilt Sort,29,1
Inbuilt Sort,40,2
Inbuilt Sort,69,4
Inbuilt Sort,84,6
Inbuilt Sort,29,1
Inbuilt Sort,22,1
Inbuilt Sort,95,6
Inbuilt Sort,64,4
Inbuilt Sort,62,4
Inbuilt Sort,18,1
Inbuilt Sort,14,0
Inbuilt Sort,97,6
Inbuilt Sort,98,6
Inbuilt Sort,87,6
Inbuilt Sort,80,5
Inbuilt Sort,14,0
Inbuilt Sort,58,4
Inbuilt Sort,52,3
Inbuilt Sort,23,1
Inbuilt Sort,39,2
Inbuilt Sort,84,5
Inbuilt Sort,42,2
Inbuilt Sort,36,2
Inbuilt Sort,89,6
Inbuilt Sort,3,0
Inbuilt Sort,40,2
Inbuilt Sort,98,6
Inbuilt Sort,88,6
Inbuilt Sort,62,3
Inbuilt Sort,82,5
Inbuilt Sort,58,3
Quick Sort,24,1
Quick Sort,62,3
Quick Sort,47,2
Quick Sort,19,0
Quick Sort,67,3
Quick Sort,26,1
Quick Sort,32,1
Quick Sort,49,2
Quick Sort,88,5
Quick Sort,98,6
Quick Sort,56,3
Quick Sort,36,1
Quick Sort,35,1
Quick Sort,87,5
Quick Sort,46,2
Quick Sort,60,3
Quick Sort,77,4
Quick Sort,50,2
Quick Sort,50,2
Quick Sort,55,2
Quick Sort,46,2
Quick Sort,31,1
Quick Sort,29,1
Quick Sort,40,1
Quick Sort,70,4
Quick Sort,84,4
Quick Sort,7,0
Quick Sort,6,0
Quick Sort,65,3
Quick Sort,76,4
Quick Sort,67,3
Quick Sort,81,6
Quick Sort,60,6
Quick Sort,3,0
Quick Sort,79,7
Quick Sort,6,0
Quick Sort,69,9
Quick Sort,90,11
Quick Sort,67,5
Quick Sort,73,6
Quick Sort,39,2
Quick Sort,57,4
Quick Sort,76,6
Quick Sort,32,2
Quick Sort,94,9
Quick Sort,8,0
Quick Sort,46,2
Quick Sort,71,3
Quick Sort,98,6
Quick Sort,28,1
Quick Sort,26,1
Quick Sort,41,2
Quick Sort,5,0
Quick Sort,9,0
Quick Sort,13,0
Quick Sort,74,4
Quick Sort,21,0
Quick Sort,43,2
Quick Sort,18,0
Quick Sort,70,4
Quick Sort,62,3
Quick Sort,28,1
Quick Sort,81,5
Quick Sort,19,0
Quick Sort,42,2
Quick Sort,67,5
Quick Sort,30,2
Quick Sort,95,18
Quick Sort,33,2
Quick Sort,29,1
Quick Sort,40,2
Quick Sort,69,5
Quick Sort,84,7
Quick Sort,29,2
Quick Sort,22,1
Quick Sort,95,9
Quick Sort,64,3
Quick Sort,62,3
Quick Sort,18,0
Quick Sort,14,0
Quick Sort,97,6
Quick Sort,98,6
Quick Sort,87,5
Quick Sort,80,4
Quick Sort,14,0
Quick Sort,58,3
Quick Sort,52,2
Quick Sort,23,0
Quick Sort,39,2
Quick Sort,84,6
Quick Sort,42,2
Quick Sort,36,1
Quick Sort,89,5
Quick Sort,3,0
Quick Sort,40,2
Quick Sort,98,6
Quick Sort,88,5
Quick Sort,62,3
Quick Sort,82,5
Quick Sort,58,3
Merge Sort,24,7
Merge Sort,62,14
Merge Sort,47,10
Merge Sort,19,3
Merge Sort,67,14
Merge Sort,26,5
Merge Sort,32,8
Merge Sort,49,17
Merge Sort,88,35
Merge Sort,98,22
Merge Sort,56,11
Merge Sort,36,7
Merge Sort,35,7
Merge Sort,87,19
Merge Sort,46,14
Merge Sort,60,29
Merge Sort,77,16
Merge Sort,50,10
Merge Sort,50,10
Merge Sort,55,11
Merge Sort,46,9
Merge Sort,31,6
Merge Sort,29,5
Merge Sort,40,8
Merge Sort,70,15
Merge Sort,84,18
Merge Sort,7,1
Merge Sort,6,1
Merge Sort,65,13
Merge Sort,76,16
Merge Sort,67,14
Merge Sort,81,17
Merge Sort,60,12
Merge Sort,3,0
Merge Sort,79,16
Merge Sort,6,0
Merge Sort,69,14
Merge Sort,90,19
Merge Sort,67,14
Merge Sort,73,15
Merge Sort,39,7
Merge Sort,57,12
Merge Sort,76,16
Merge Sort,32,6
Merge Sort,94,20
Merge Sort,8,1
Merge Sort,46,9
Merge Sort,71,15
Merge Sort,98,21
Merge Sort,28,5
Merge Sort,26,5
Merge Sort,41,8
Merge Sort,5,0
Merge Sort,9,1
Merge Sort,13,2
Merge Sort,74,15
Merge Sort,21,3
Merge Sort,43,8
Merge Sort,18,3
Merge Sort,70,14
Merge Sort,62,12
Merge Sort,28,5
Merge Sort,81,17
Merge Sort,19,3
Merge Sort,42,8
Merge Sort,67,14
Merge Sort,30,5
Merge Sort,95,20
Merge Sort,33,6
Merge Sort,29,5
Merge Sort,40,8
Merge Sort,69,14
Merge Sort,84,18
Merge Sort,29,5
Merge Sort,22,4
Merge Sort,95,20
Merge Sort,64,13
Merge Sort,62,12
Merge Sort,18,3
Merge Sort,14,2
Merge Sort,97,21
Merge Sort,98,21
Merge Sort,87,18
Merge Sort,80,16
Merge Sort,14,2
Merge Sort,58,12
Merge Sort,52,10
Merge Sort,23,4
Merge Sort,39,7
Merge Sort,84,17
Merge Sort,42,8
Merge Sort,36,7
Merge Sort,89,19
Merge Sort,3,0
Merge Sort,40,8
